2026-02-17,What is the standard regulated height of a basketball ring (hoop) used for all levels of competitive play?,12 ft.,9 ft,::10 ft.,8 ft.
2026-02-18,"Which country, a part of the Sahara Desert, experienced the first snowfall on 18th February, 1979?",Egypt,Libya,::Algeria,Tunisia
2026-02-19,By what name was Chhatrapati Shivaji International Airport known until 1999?,::Sahar International Aiport,Palam Airport,Dum Dum Airport,Santa Cruz Airport
2026-02-20,Who was the first person to orbit the Earth aboard the Vostok 1 spacecraft?,Valentina Tereshkova,Vladimir Komarov,Neil Armstrong,::Yuri Gagarin
2026-02-21,"Which city is widely believed to be the ""fifth character"" in the movie Dhobi Ghat?",Delhi,::Mumbai,Kanpur,Banaras
2026-02-22,What is the title of Shoaib Akhtar's autobiography?,::Controversially Yours,Yours Truly,Against the Currents,Rawalpindi Express
2026-02-23,"Dhanu Yatra, world's largest open air theatre, is an anual event in which Indian state?",Bihar,Assam,::Odisha,Tripura
2026-02-24,"After Steve Jobs bought the Graphics Group from Lucasfilm, what was it renamed to?",Studio Ghibli,DreamWorks Animation,Cartoon Network Studio,::Pixar
2026-02-25,What is the collective noun for a group of fish?,Pride,::School,Brood,Swarm
2026-02-26,"At the 89th Academy Awards, which movie was the true Best Picture winner when La La Land was announced by mistake?",::Moonlight,Hidden Figures,Lion,Hacksaw Ridge
2026-02-27,What colour is the skin of polar bears?,White ,Brown,::Black,Grey
2026-02-28,For which discovery was Dr. C V Raman awarded the 1930 Nobel Prize in Physics?,X-Ray,::Scattering of Light,Magnetism,Radioactivity
